1000 10000
982 577 6550
760 669 5202
411 202 976
608 724 1521
227 897 1220
531 439 7932
162 191 6456
874 802 5819
904 387 4371
295 800 9140
450 556 6896
598 9 3461
15 206 2026
46 704 5863
213 253 7602
352 388 3601
240 7 1316
799 634 3864
995 780 2175
926 262 7184
775 625 7615
291 470 5016
343 988 8768
507 115 8259
879 122 7174
370 123 7134
416 22 1820
755 338 6409
875 142 6159
127 221 1740
455 119 1373
106 692 5759
354 342 3567
847 844 1700
768 640 2134
534 405 8268
265 621 1984
586 404 6149
866 583 2290
37 391 1781
978 598 2445
221 101 7625
171 895 7461
788 130 318
825 416 5842
2 488 2671
600 615 3543
438 277 9101
155 786 404
613 95 4816
617 848 3474
889 739 924
404 627 7383
978 615 8399
744 833 2317
333 60 2460
101 58 5151
127 705 5019
705 879 8406
418 953 9796
541 502 7500
164 115 3042
102 567 6634
27 482 5123
704 283 2827
440 308 4003
951 780 4888
136 638 7786
944 963 2310
214 307 8231
12 976 5412
399 996 5762
617 657 5126
174 405 5784
625 684 5450
479 952 9469
349 253 8793
550 573 1306
192 38 8381
296 396 45
829 411 8956
642 945 7807
573 963 5997
325 375 5088
874 408 2373
650 490 2104
596 67 8612
675 792 1068
436 425 5650
59 679 9951
495 719 9543
370 952 4085
445 351 5429
576 129 3886
470 162 9882
643 995 7863
400 643 8219
427 675 236
712 226 6895
278 734 1069
495 527 8314
88 481 2920
99 540 8876
30 315 6420
632 525 7738
662 730 891
893 501 6494
812 340 936
954 776 1535
526 50 4820
497 656 5691
823 436 8133
815 138 5458
915 953 9598
267 383 8019
226 973 6568
139 476 3305
683 364 5486
75 778 2770
704 993 1485
388 183 1759
60 368 6071
111 670 8838
510 780 3883
950 136 8253
546 384 7963
779 713 8084
422 184 9101
68 315 2592
233 143 8962
931 762 8652
703 653 9222
217 105 7550
509 735 4682
258 410 6805
351 956 6127
205 35 9039
273 124 8766
223 327 161
841 278 4453
90 384 1988
499 178 681
381 310 5616
341 651 4063
878 221 3276
183 579 1274
842 427 3565
857 321 1939
636 808 6026
161 66 9324
255 319 7633
117 760 4473
260 149 1213
923 235 9958
367 902 1102
40 815 9134
836 288 8827
237 666 3995
274 318 2234
390 260 7557
997 843 2775
64 988 3600
200 133 8472
102 627 6213
965 124 3951
807 370 6671
181 919 1702
604 821 4745
650 902 1747
321 5 2713
8 859 7
69 336 6506
152 709 7878
547 495 8845
39 618 8270
869 348 7950
844 800 9229
163 160 2220
764 209 9436
833 790 1309
105 349 9803
87 219 2418
486 614 5976
565 746 8191
332 93 1386
320 751 7044
516 298 5091
887 970 864
892 484 3981
203 487 9017
514 703 7300
289 267 721
15 819 6152
7 969 4326
843 774 7023
504 315 9006
427 71 7556
322 615 895
750 799 8012
598 624 4441
931 65 9047
20 268 5683
326 547 8143
972 941 2646
696 834 7509
866 555 1710
176 289 955
479 686 5496
885 723 9449
117 385 7285
322 458 1723
102 269 3656
135 831 837
993 503 4739
333 608 8804
169 521 3223
134 751 9630
960 578 8971
392 133 8539
951 431 9418
284 658 9429
242 192 9162
687 435 6410
684 375 7246
773 520 5945
792 780 5159
178 990 4374
873 253 7517
966 426 3596
127 289 6934
454 331 8547
352 499 5337
785 616 4231
617 242 4910
807 946 4618
745 790 8980
62 520 8454
197 530 460
520 685 1097
34 957 3894
743 273 3231
445 768 9481
418 125 928
930 785 1335
242 401 242
566 331 2677
27 253 5870
569 813 5104
774 481 5007
865 266 3824
723 50 7848
512 779 8139
609 787 2987
545 904 7775
600 429 1122
307 817 7312
972 801 197
295 139 7456
975 901 7158
982 39 436
404 747 8513
972 906 8384
792 168 2980
3 346 1202
917 303 486
410 684 4510
773 455 3393
377 248 8961
798 826 2332
455 589 4313
738 198 6675
265 888 806
541 881 9945
372 339 7939
375 650 2411
199 881 6063
260 508 413
209 461 3484
647 246 9706
519 321 8351
122 747 9018
69 744 6304
78 316 3235
697 630 2114
506 125 9014
663 609 3684
547 294 1698
954 867 5464
12 326 2572
963 188 1252
612 328 8761
113 979 8718
654 903 2127
74 538 1006
476 462 212
71 911 1218
782 506 8051
924 482 6313
423 27 7379
84 182 3026
897 290 3335
204 521 5657
736 147 1298
186 376 4666
907 453 288
865 150 7230
798 672 9682
858 699 7253
802 791 7940
13 718 7583
381 136 7624
634 301 5915
235 458 3008
773 72 3368
191 804 5882
56 97 774
810 529 2764
146 350 5155
116 325 6638
246 124 7741
851 824 7934
367 838 9835
446 457 3296
73 126 4944
831 949 5707
842 783 8093
335 295 3898
534 578 7558
856 654 3636
394 167 9740
876 205 576
650 880 6176
58 690 6495
372 499 3322
298 174 9413
223 130 720
147 366 560
517 778 7209
293 195 1372
572 995 746
364 702 8076
708 64 5330
807 502 2479
990 491 7449
43 391 8788
975 727 8794
8 62 1116
947 312 1410
51 745 5951
245 742 1983
205 225 8528
652 486 9201
208 969 9231
328 712 6357
719 396 8924
941 369 3005
949 726 2526
373 453 8566
628 663 5000
551 312 115
457 877 7182
692 212 1996
595 742 4517
20 641 5250
596 960 3384
590 813 182
50 611 5106
518 565 4646
519 229 8137
8 212 3645
993 89 6871
343 863 7792
101 323 2088
150 51 3781
216 991 403
956 800 5685
811 965 8023
479 924 7904
110 291 9339
590 989 7533
492 518 6460
140 458 1109
97 286 8086
238 545 3078
63 793 5422
131 396 8993
284 640 6554
356 997 5741
574 556 592
635 335 2848
617 417 7996
743 758 1772
35 505 5636
871 665 5220
44 172 6070
939 235 8318
95 971 6535
6 667 4705
735 803 11
38 941 5649
137 1 6308
526 34 2593
602 812 9886
754 606 778
172 304 5074
898 225 5774
625 286 6215
365 645 8455
80 319 2196
269 525 6517
633 594 7744
306 955 7648
476 871 3460
484 820 4047
207 197 9258
896 119 5072
312 94 2865
976 272 3882
109 436 1047
317 109 1331
36 634 9997
939 543 5645
868 341 470
554 99 4520
453 252 7754
378 182 9205
946 173 6873
397 914 7500
491 359 7567
989 130 9933
87 434 4243
261 297 2905
253 48 9203
75 863 6579
775 587 5356
454 980 201
303 64 4590
723 961 6918
661 148 9475
865 204 899
352 918 6623
334 992 5827
814 866 8197
439 971 5208
144 919 326
822 277 1574
670 204 7270
233 517 5609
57 960 1420
573 953 5052
830 75 3560
990 69 5545
442 681 7716
904 598 2837
856 966 3170
44 104 1353
248 40 2233
475 338 4752
971 534 7294
264 669 5992
934 548 8268
433 818 3820
297 52 6445
217 383 9373
233 614 8766
88 753 8193
272 192 6932
317 582 7376
484 644 6565
858 96 1230
31 468 7707
452 395 9145
666 998 4509
62 355 8349
107 956 2741
1 747 3151
288 507 5122
369 39 9651
983 408 7724
602 752 8250
18 70 9264
945 10 6866
313 891 7473
28 1 6409
685 389 5935
974 544 25
346 894 5040
858 511 89
512 268 3702
668 427 1565
312 845 3109
779 135 2696
269 343 131
654 967 3319
128 913 2170
810 367 9483
324 366 7072
695 741 7646
72 503 9407
39 575 499
175 302 3612
109 406 435
504 948 1850
744 649 2034
648 939 1362
37 835 7189
87 635 7920
187 718 5448
691 782 9387
196 636 2117
545 563 5992
316 155 1374
343 34 4001
672 32 3450
549 198 5453
323 730 8417
658 865 489
873 420 4106
65 681 8726
387 123 6643
114 678 2061
358 421 973
443 980 4542
707 630 8464
494 748 1019
934 592 854
145 841 6057
782 997 2085
589 96 2758
417 412 2414
763 85 5380
467 589 4830
80 973 630
348 7 906
876 951 9384
741 935 4875
319 940 523
484 729 7395
806 1 4074
103 980 3733
932 234 1841
211 638 3010
933 202 311
324 73 1778
665 186 2491
208 753 5895
738 520 8517
503 483 4975
340 441 9666
223 863 6002
856 206 1038
964 823 3896
344 860 3335
188 121 8446
75 864 3851
621 310 4690
48 482 6620
501 600 5608
346 734 3930
703 792 2030
279 316 8645
317 810 9841
331 490 9527
156 221 1000
839 379 9633
824 504 5282
590 944 6011
594 325 8081
469 599 8502
273 525 1715
305 765 5032
240 705 6199
513 713 7778
737 839 4095
376 169 8847
244 443 5219
823 849 4873
42 608 5941
111 294 9402
640 649 2468
212 318 6799
486 340 4832
874 78 735
515 70 7418
366 40 2865
307 479 9913
976 438 3187
106 533 2946
344 434 1693
388 228 365
315 628 2938
986 7 8029
558 477 6058
651 398 5501
714 498 4950
328 6 9527
38 696 6626
297 593 2790
774 430 9764
996 97 8856
552 944 914
750 454 2095
45 742 9609
520 2 3736
279 297 8654
259 906 441
538 415 8383
378 254 4705
440 202 9410
506 606 7936
490 27 2107
381 529 7827
146 606 7959
354 423 3748
648 78 3926
108 233 967
510 63 1032
703 107 5225
417 228 2520
710 398 9627
260 137 7097
221 757 2082
210 132 3690
800 734 2869
560 920 6151
816 448 9761
113 84 4545
77 432 2935
377 895 2948
736 413 4255
506 464 9421
474 506 3071
726 377 866
357 931 1925
653 211 4077
858 968 3004
782 240 7856
354 650 7510
760 740 3789
786 38 9381
976 461 6775
447 565 8859
74 940 7890
578 869 4053
739 589 1347
919 669 3032
76 615 3052
119 172 3589
484 582 1313
72 960 2251
942 947 7894
204 4 4808
467 393 6127
594 157 3849
558 435 5697
316 519 7758
283 456 5291
50 764 1193
900 702 6028
533 685 932
770 614 1829
474 508 7901
